cos_theta_center,cos_theta_det_center,counts,omega
0.1650000000,0.8750000000,0,0.0000000000
0.1650000000,0.9250000000,0,0.0000000000
0.1650000000,0.9750000000,0,0.0000000000
0.1750000000,0.0250000000,0,0.0000000000
0.1750000000,0.0750000000,0,0.0000000000
0.1750000000,0.1250000000,0,0.0000000000
0.1750000000,0.1750000000,0,0.0000000000
0.1750000000,0.2250000000,123,0.0000024600
0.1750000000,0.2750000000,4137,0.0000827400
0.1750000000,0.3250000000,14321,0.0002864200
0.1750000000,0.3750000000,20989,0.0004197800
0.1750000000,0.4250000000,25226,0.0005045200
0.1750000000,0.4750000000,28892,0.0005778400
0.1750000000,0.5250000000,38030,0.0007606000
0.1750000000,0.5750000000,45113,0.0009022600
0.1750000000,0.6250000000,16354,0.0003270800
0.1750000000,0.6750000000,18892,0.0003778400
0.1750000000,0.7250000000,22733,0.0004546600
0.1750000000,0.7750000000,33600,0.0006720000
0.1750000000,0.8250000000,38022,0.0007604400
0.1750000000,0.8750000000,0,0.0000000000
0.1750000000,0.9250000000,0,0.0000000000
0.1750000000,0.9750000000,0,0.0000000000
0.1850000000,0.0250000000,0,0.0000000000
0.1850000000,0.0750000000,0,0.0000000000
0.1850000000,0.1250000000,0,0.0000000000
0.1850000000,0.1750000000,0,0.0000000000
0.1850000000,0.2250000000,158,0.0000031600
0.1850000000,0.2750000000,4148,0.0000829600
0.1850000000,0.3250000000,14338,0.0002867600
0.1850000000,0.3750000000,20740,0.0004148000
0.1850000000,0.4250000000,24805,0.0004961000
0.1850000000,0.4750000000,29612,0.0005922400
0.1850000000,0.5250000000,39864,0.0007972800
0.1850000000,0.5750000000,37775,0.0007555000
0.1850000000,0.6250000000,16201,0.0003240200
0.1850000000,0.6750000000,18260,0.0003652000
0.1850000000,0.7250000000,22024,0.0004404800
0.1850000000,0.7750000000,31706,0.0006341200
0.1850000000,0.8250000000,43543,0.0008708600
0.1850000000,0.8750000000,0,0.0000000000
0.1850000000,0.9250000000,0,0.0000000000
0.1850000000,0.9750000000,0,0.0000000000
0.1950000000,0.0250000000,0,0.0000000000
0.1950000000,0.0750000000,0,0.0000000000
0.1950000000,0.1250000000,0,0.0000000000
0.1950000000,0.1750000000,0,0.0000000000
0.1950000000,0.2250000000,185,0.0000037000
0.1950000000,0.2750000000,4253,0.0000850600
0.1950000000,0.3250000000,14233,0.0002846600
0.1950000000,0.3750000000,20570,0.0004114000
0.1950000000,0.4250000000,24756,0.0004951200
0.1950000000,0.4750000000,29359,0.0005871800
0.1950000000,0.5250000000,44700,0.0008940000
0.1950000000,0.5750000000,28947,0.0005789400
0.1950000000,0.6250000000,16049,0.0003209800
0.1950000000,0.6750000000,18089,0.0003617800
0.1950000000,0.7250000000,21589,0.0004317800
0.1950000000,0.7750000000,29906,0.0005981200
0.1950000000,0.8250000000,47703,0.0009540600
0.1950000000,0.8750000000,0,0.0000000000
0.1950000000,0.9250000000,0,0.0000000000
0.1950000000,0.9750000000,0,0.0000000000
0.2050000000,0.0250000000,0,0.0000000000
0.2050000000,0.0750000000,0,0.0000000000
0.2050000000,0.1250000000,0,0.0000000000
0.2050000000,0.1750000000,0,0.0000000000
0.2050000000,0.2250000000,202,0.0000040400
0.2050000000,0.2750000000,4133,0.0000826600
0.2050000000,0.3250000000,13949,0.0002789800
0.2050000000,0.3750000000,20265,0.0004053000
0.2050000000,0.4250000000,25030,0.0005006000
0.2050000000,0.4750000000,30052,0.0006010400
0.2050000000,0.5250000000,53768,0.0010753600
0.2050000000,0.5750000000,15379,0.0003075800
0.2050000000,0.6250000000,15864,0.0003172800
0.2050000000,0.6750000000,17948,0.0003589600
0.2050000000,0.7250000000,21060,0.0004212000
0.2050000000,0.7750000000,28326,0.0005665200
0.2050000000,0.8250000000,52063,0.0010412600
0.2050000000,0.8750000000,0,0.0000000000
