cos_theta_center,cos_theta_det_center,counts,omega
0.2650000000,0.3750000000,27308,0.0005461600
0.2650000000,0.4250000000,34265,0.0006853000
0.2650000000,0.4750000000,62787,0.0012557400
0.2650000000,0.5250000000,13330,0.0002666000
0.2650000000,0.5750000000,14246,0.0002849200
0.2650000000,0.6250000000,15170,0.0003034000
0.2650000000,0.6750000000,16689,0.0003337800
0.2650000000,0.7250000000,18937,0.0003787400
0.2650000000,0.7750000000,23029,0.0004605800
0.2650000000,0.8250000000,34500,0.0006900000
0.2650000000,0.8750000000,37665,0.0007533000
0.2650000000,0.9250000000,0,0.0000000000
0.2650000000,0.9750000000,0,0.0000000000
0.2750000000,0.0250000000,0,0.0000000000
0.2750000000,0.0750000000,0,0.0000000000
0.2750000000,0.1250000000,0,0.0000000000
0.2750000000,0.1750000000,0,0.0000000000
0.2750000000,0.2250000000,1594,0.0000318800
0.2750000000,0.2750000000,11480,0.0002296000
0.2750000000,0.3250000000,20382,0.0004076400
0.2750000000,0.3750000000,27224,0.0005444800
0.2750000000,0.4250000000,35135,0.0007027000
0.2750000000,0.4750000000,56248,0.0011249600
0.2750000000,0.5250000000,13291,0.0002658200
0.2750000000,0.5750000000,14094,0.0002818800
0.2750000000,0.6250000000,15291,0.0003058200
0.2750000000,0.6750000000,16564,0.0003312800
0.2750000000,0.7250000000,18549,0.0003709800
0.2750000000,0.7750000000,22850,0.0004570000
0.2750000000,0.8250000000,32627,0.0006525400
0.2750000000,0.8750000000,42993,0.0008598600
0.2750000000,0.9250000000,0,0.0000000000
0.2750000000,0.9750000000,0,0.0000000000
0.2850000000,0.0250000000,0,0.0000000000
0.2850000000,0.0750000000,0,0.0000000000
0.2850000000,0.1250000000,0,0.0000000000
0.2850000000,0.1750000000,0,0.0000000000
0.2850000000,0.2250000000,1339,0.0000267800
0.2850000000,0.2750000000,11444,0.0002288800
0.2850000000,0.3250000000,20260,0.0004052000
0.2850000000,0.3750000000,27603,0.0005520600
0.2850000000,0.4250000000,37169,0.0007433800
